name,id,popularity,image,embded
Maddie Zahm,5dtPlx7yKOo7KdZGyrfFIq,61,https://images.genius.com/2c5f3f9f13a65c66b47ba8282a328ba8.820x820x1.png,https://open.spotify.com/embed/artist/5dtPlx7yKOo7KdZGyrfFIq?utm_source=generator&theme=0
Chloe x Halle,0AsThoR4KZSVktALiNcQwW,60,https://images.genius.com/6350c8264a502c70f41e63d0cdfb2152.1000x1000x1.jpg,https://open.spotify.com/embed/artist/0AsThoR4KZSVktALiNcQwW?utm_source=generator&theme=0
Waxahatchee,5IWCU0V9evBlW4gIeGY4zF,52,https://images.genius.com/02258f5aba60bdf7fe225f89da44223e.900x900x1.jpg,https://open.spotify.com/embed/artist/5IWCU0V9evBlW4gIeGY4zF?utm_source=generator&theme=0
Biig Piig,4GoD5FJCgC0lbzde7ly44M,63,https://images.genius.com/35915eb2a97fbc656a754143cee55ee7.1000x1000x1.jpg,https://open.spotify.com/embed/artist/4GoD5FJCgC0lbzde7ly44M?utm_source=generator&theme=0
Jessica Pratt,5KTykbPcDB4GYS49jcHbWh,48,https://images.genius.com/1ff99aefacc6289eef86937d6bf7d639.682x682x1.jpg,https://open.spotify.com/embed/artist/5KTykbPcDB4GYS49jcHbWh?utm_source=generator&theme=0
BLÜ EYES,2gI1WfmpFmmgSRojy4Jup2,55,https://images.genius.com/9d18f2cef6be9d67d1296b247a7c9e80.960x635x1.jpg,https://open.spotify.com/embed/artist/2gI1WfmpFmmgSRojy4Jup2?utm_source=generator&theme=0
Freak Slug,5wk7sY8GIg5ihSI09EbWeS,47,https://images.genius.com/cca381ffa43465f3a423761921900cd0.900x900x1.jpg,https://open.spotify.com/embed/artist/5wk7sY8GIg5ihSI09EbWeS?utm_source=generator&theme=0
Delaney Bailey,3Os4q49SgEN0Tv3fxKw3Sp,61,https://images.genius.com/833b868cf4a39c79264a693c64170693.534x534x1.jpg,https://open.spotify.com/embed/artist/3Os4q49SgEN0Tv3fxKw3Sp?utm_source=generator&theme=0
quinnie,4aEuFytRb43SAgjchJDk5e,56,https://images.genius.com/ebda221690244e5202fad975e869b189.1000x1000x1.png,https://open.spotify.com/embed/artist/4aEuFytRb43SAgjchJDk5e?utm_source=generator&theme=0
Snail Mail,4QkSD9TRUnMtI8Fq1jXJJe,53,https://images.genius.com/ace1e9ebff45c6c3efe9bd325c58c43d.1000x1000x1.jpg,https://open.spotify.com/embed/artist/4QkSD9TRUnMtI8Fq1jXJJe?utm_source=generator&theme=0
FELIVAND,6QCstr3yhEVSZPQyDvvYjK,44,https://images.genius.com/25f871bd043412baa0b3f71ec968d064.480x480x1.jpg,https://open.spotify.com/embed/artist/6QCstr3yhEVSZPQyDvvYjK?utm_source=generator&theme=0
Lauren Sanderson,06vRrrjT3DBRkhBlXoBdYj,51,https://images.genius.com/98360094880160116ade333224a657ac.1000x1000x1.jpg,https://open.spotify.com/embed/artist/06vRrrjT3DBRkhBlXoBdYj?utm_source=generator&theme=0
Rosie Carney,3Aut8hgiqZSy2qmJluZMU9,51,https://images.genius.com/6e1f825a7928948595bd364e54f77c9b.803x803x1.png,https://open.spotify.com/embed/artist/3Aut8hgiqZSy2qmJluZMU9?utm_source=generator&theme=0
Tanukichan,7d0wUlQ0ZXIGFa0YzuBiR6,50,https://images.genius.com/c08f3c57fc60695f07116aa89b638171.559x559x1.png,https://open.spotify.com/embed/artist/7d0wUlQ0ZXIGFa0YzuBiR6?utm_source=generator&theme=0
Orion Sun,2efrqekWSHlvhATD50AG3m,63,https://images.genius.com/e1fb8402249ba9f65b5b1bec692eb43c.1000x1000x1.jpg,https://open.spotify.com/embed/artist/2efrqekWSHlvhATD50AG3m?utm_source=generator&theme=0
Liza Anne,426VSUSxx9puUYFgp7l7EQ,48,https://images.genius.com/42611846fb9c85120cf981e43e179d7c.641x641x1.jpg,https://open.spotify.com/embed/artist/426VSUSxx9puUYFgp7l7EQ?utm_source=generator&theme=0
Eleanor Friedberger,42WJFNdxsAgcn9PfjT61Z3,20,https://images.genius.com/36db86259a31d58e0997b66be7174b86.1000x562x1.jpg,https://open.spotify.com/embed/artist/42WJFNdxsAgcn9PfjT61Z3?utm_source=generator&theme=0
Courtney Marie Andrews,1EI0B66miJj5Fl408B7E9H,48,https://images.genius.com/998f22bb7ee16084ce071c5a0217ec1c.960x960x1.jpg,https://open.spotify.com/embed/artist/1EI0B66miJj5Fl408B7E9H?utm_source=generator&theme=0
Meg Mac,4faUajx9k93O56nlmpkOuz,47,https://images.genius.com/48d7968e72e1cb760e353e83047d879a.640x640x1.jpg,https://open.spotify.com/embed/artist/4faUajx9k93O56nlmpkOuz?utm_source=generator&theme=0
Nilüfer Yanya,09kXLeOXRyfNQMXRaDO4qA,52,https://images.genius.com/4f9936af64e4989104a776182a99c03d.1000x1000x1.jpg,https://open.spotify.com/embed/artist/09kXLeOXRyfNQMXRaDO4qA?utm_source=generator&theme=0
King Princess,6beUvFUlKliUYJdLOXNj9C,62,https://images.genius.com/f0bd45d866fe1485209f4e40acee60ca.942x942x1.png,https://open.spotify.com/embed/artist/6beUvFUlKliUYJdLOXNj9C?utm_source=generator&theme=0
Rosie Tucker,21IgTzfAyrn8DJpEY7F4DM,35,https://images.genius.com/d46b0b687b48a1e34d2a905b944ef7c4.1000x1000x1.jpg,https://open.spotify.com/embed/artist/21IgTzfAyrn8DJpEY7F4DM?utm_source=generator&theme=0
Taylor Acorn,1A0WloDoRE88uUwo3wensY,59,https://images.genius.com/cf1334b774929c956fcee01344593741.400x400x1.jpg,https://open.spotify.com/embed/artist/1A0WloDoRE88uUwo3wensY?utm_source=generator&theme=0
Tommy Lefroy,3vldh5Ceynytj6Iglw4haP,56,https://images.genius.com/8f86073c0d57b7618afd1bd2a823dc96.500x500x1.jpg,https://open.spotify.com/embed/artist/3vldh5Ceynytj6Iglw4haP?utm_source=generator&theme=0
Palehound,4AgusFXPk24LCGMMplX34M,40,https://images.genius.com/307008d6d9c27f85c34a0ff2920fd88a.668x668x1.jpg,https://open.spotify.com/embed/artist/4AgusFXPk24LCGMMplX34M?utm_source=generator&theme=0
Lava La Rue,271bbpX3pdCi56ZJA1jQ43,47,https://images.genius.com/6efeaa635b091ab0426fe33850357dae.680x680x1.jpg,https://open.spotify.com/embed/artist/271bbpX3pdCi56ZJA1jQ43?utm_source=generator&theme=0
Molly Parden,5dUUxJQg27XaHdKyLYwNg5,44,https://images.genius.com/c60cfb69530f0fdc0ac7319956619730.620x620x1.jpg,https://open.spotify.com/embed/artist/5dUUxJQg27XaHdKyLYwNg5?utm_source=generator&theme=0
Indigo Sparke,3KlPjpVKfm6vESPL46NDCh,35,https://images.genius.com/8ef0e1515a667c1ee7ccbfc90dfddb33.959x959x1.jpg,https://open.spotify.com/embed/artist/3KlPjpVKfm6vESPL46NDCh?utm_source=generator&theme=0
Jenny Lewis,5cMVRrisBpDkXCVG48epED,47,https://images.genius.com/920eda37e161276d0a268ceb76c9f383.1000x1000x1.jpg,https://open.spotify.com/embed/artist/5cMVRrisBpDkXCVG48epED?utm_source=generator&theme=0
Avery Lynch,7aO285xSsCbjy0q9zEqXEk,47,https://images.genius.com/d9c0042ea966cc3874cca00b30818089.640x640x1.jpg,https://open.spotify.com/embed/artist/7aO285xSsCbjy0q9zEqXEk?utm_source=generator&theme=0
Penelope Scott,3u6lPufHw4Oww6D88rv6sB,65,https://images.genius.com/ec9c629e381df29cc170305bc54c9e6f.1000x1000x1.jpg,https://open.spotify.com/embed/artist/3u6lPufHw4Oww6D88rv6sB?utm_source=generator&theme=0
Gretta Ray,4xdEmbimxXyo9wXy9lq3ek,52,https://images.genius.com/2a1787b21bdf77bb5ee94d3a3691717e.1000x1000x1.jpg,https://open.spotify.com/embed/artist/4xdEmbimxXyo9wXy9lq3ek?utm_source=generator&theme=0
The Wild Reeds,3Q9WLyqkHw04V6DDtvPWwH,44,https://images.genius.com/a24fc14eb4a8b5a25233c67c5cdbb518.800x800x1.jpg,https://open.spotify.com/embed/artist/3Q9WLyqkHw04V6DDtvPWwH?utm_source=generator&theme=0
Lomelda,6zcDLZ62JsbVM1nLrQMzi4,57,https://images.genius.com/580b0fdf08e2b0d016d4e442edf3bc3a.1000x1000x1.jpg,https://open.spotify.com/embed/artist/6zcDLZ62JsbVM1nLrQMzi4?utm_source=generator&theme=0
Hand Habits,5poU7FPEYoBlwjzOEWMbX5,44,https://images.genius.com/cc2ee8af31e1ea9d6493f45bb86a6e9d.800x800x1.jpg,https://open.spotify.com/embed/artist/5poU7FPEYoBlwjzOEWMbX5?utm_source=generator&theme=0
carobae,2HysMkOtaumKooHYAlE7wd,42,https://images.genius.com/db17cf743fcc4f877de53564dfa7c2ba.1000x1000x1.jpg,https://open.spotify.com/embed/artist/2HysMkOtaumKooHYAlE7wd?utm_source=generator&theme=0
Emily James,7FxEy78P0oIVEVxdaL9npy,51,https://images.genius.com/3f8feaa49b1c6828ae3390c9801bd1c2.500x500x1.jpg,https://open.spotify.com/embed/artist/7FxEy78P0oIVEVxdaL9npy?utm_source=generator&theme=0
