artist_name,artist_id,genre
Julia Holter,0bsV0sUjnCuCTYOnNHQl3E,art pop
Julia Holter,0bsV0sUjnCuCTYOnNHQl3E,chamber psych
Julia Holter,0bsV0sUjnCuCTYOnNHQl3E,collage pop
Julia Holter,0bsV0sUjnCuCTYOnNHQl3E,dream pop
Julia Holter,0bsV0sUjnCuCTYOnNHQl3E,electra
Julia Holter,0bsV0sUjnCuCTYOnNHQl3E,experimental pop
Julia Holter,0bsV0sUjnCuCTYOnNHQl3E,la indie
Julia Holter,0bsV0sUjnCuCTYOnNHQl3E,spectra
Cassandra Jenkins,1WVGbBnzZ5WLZ2PfesIHik,indie folk
Kate Bollinger,4eArh1v6UwBbKkjdgHCned,charlottesville indie
Kate Bollinger,4eArh1v6UwBbKkjdgHCned,indie pop
Kate Bollinger,4eArh1v6UwBbKkjdgHCned,indie r&b
Alex Lahey,5kdYrM3h2sB1Eid5tDf6Hk,australian indie
Alex Lahey,5kdYrM3h2sB1Eid5tDf6Hk,australian pop
Alex Lahey,5kdYrM3h2sB1Eid5tDf6Hk,melbourne indie
Black Belt Eagle Scout,1CUUXdvZE6UzwQyBUm5YVD,bubblegrunge
Black Belt Eagle Scout,1CUUXdvZE6UzwQyBUm5YVD,indie pop
Black Belt Eagle Scout,1CUUXdvZE6UzwQyBUm5YVD,portland indie
Sody,01y8iBZYk8aeNfPsuTVrAt,alt z
Sody,01y8iBZYk8aeNfPsuTVrAt,uk pop
Hazel English,1nEGjL7aMVdNQzsfQPKdGr,dreamo
Hazel English,1nEGjL7aMVdNQzsfQPKdGr,indie pop
Hazel English,1nEGjL7aMVdNQzsfQPKdGr,indie rock
Hazel English,1nEGjL7aMVdNQzsfQPKdGr,oakland indie
beabadoobee,35l9BRT7MXmM8bv2WDQiyB,bedroom pop
beabadoobee,35l9BRT7MXmM8bv2WDQiyB,bubblegrunge
beabadoobee,35l9BRT7MXmM8bv2WDQiyB,indie pop
beabadoobee,35l9BRT7MXmM8bv2WDQiyB,pop
Alice Phoebe Lou,03uMw43UVu9MsQCcHVSGjX,indie pop
Alice Phoebe Lou,03uMw43UVu9MsQCcHVSGjX,south african alternative
Indigo De Souza,3ir2pF2mkiEWqyPenKTh5e,art pop
Indigo De Souza,3ir2pF2mkiEWqyPenKTh5e,asheville indie
Indigo De Souza,3ir2pF2mkiEWqyPenKTh5e,bubblegrunge
Indigo De Souza,3ir2pF2mkiEWqyPenKTh5e,indie pop
Indigo De Souza,3ir2pF2mkiEWqyPenKTh5e,indie rock
Ada Lea,3sE8O47mEFWR6pL0rwnAHy,indie folk
Ada Lea,3sE8O47mEFWR6pL0rwnAHy,montreal indie
Kississippi,6t0a2t1BXxTQvAkxReClPm,bubblegrunge
Kississippi,6t0a2t1BXxTQvAkxReClPm,diy emo
Kississippi,6t0a2t1BXxTQvAkxReClPm,indie pop
Kississippi,6t0a2t1BXxTQvAkxReClPm,philly indie
Kississippi,6t0a2t1BXxTQvAkxReClPm,small room
MUNA,6xdRb2GypJ7DqnWAI2mHGn,electropop
MUNA,6xdRb2GypJ7DqnWAI2mHGn,indie pop
MUNA,6xdRb2GypJ7DqnWAI2mHGn,indie poptimism
MUNA,6xdRb2GypJ7DqnWAI2mHGn,la pop
MUNA,6xdRb2GypJ7DqnWAI2mHGn,metropopolis
MUNA,6xdRb2GypJ7DqnWAI2mHGn,pop
Esmé Patterson,1PoFNQQDFXvOYm6Dx8coAa,new americana
P.S. Eliot,5OPhZptrztOU4W75eMEPiX,alabama indie
P.S. Eliot,5OPhZptrztOU4W75eMEPiX,bubblegrunge
P.S. Eliot,5OPhZptrztOU4W75eMEPiX,folk punk
P.S. Eliot,5OPhZptrztOU4W75eMEPiX,indie punk
P.S. Eliot,5OPhZptrztOU4W75eMEPiX,small room
Reneé Rapp,2hUYKu1x0UZQXvzCmggvSn,alt z
Reneé Rapp,2hUYKu1x0UZQXvzCmggvSn,indie pop
Reneé Rapp,2hUYKu1x0UZQXvzCmggvSn,pop
Beach Bunny,2vnB6tuQMaQpORiRdvXF9H,bubblegrunge
Beach Bunny,2vnB6tuQMaQpORiRdvXF9H,chicago indie
Beach Bunny,2vnB6tuQMaQpORiRdvXF9H,indie pop
Beach Bunny,2vnB6tuQMaQpORiRdvXF9H,indie rock
Doechii,4E2rKHVDssGJm2SCDOMMJB,alternative r&b
Doechii,4E2rKHVDssGJm2SCDOMMJB,escape room
Doechii,4E2rKHVDssGJm2SCDOMMJB,pop
Doechii,4E2rKHVDssGJm2SCDOMMJB,r&b
Doechii,4E2rKHVDssGJm2SCDOMMJB,rap
Doechii,4E2rKHVDssGJm2SCDOMMJB,viral rap
Samia,1Uk1GyijF6fSfX4mWq5bfR,art pop
Samia,1Uk1GyijF6fSfX4mWq5bfR,indie pop
Grace Gaustad,1F2JeQG9fLoC6flF1QTnxS,alt z
JGrrey,66rDbD3tWR3M1uNuIaDAGx,alternative r&b
JGrrey,66rDbD3tWR3M1uNuIaDAGx,indie r&b
JGrrey,66rDbD3tWR3M1uNuIaDAGx,indie soul
JGrrey,66rDbD3tWR3M1uNuIaDAGx,uk contemporary r&b
fanclubwallet,1NJUWqbiNAk1BPOyQhb2qe,indie pop
Daisy the Great,0SrIPejckovMwhrN3MZFPB,brooklyn indie
Daisy the Great,0SrIPejckovMwhrN3MZFPB,indie pop
Lala Lala,492I2sQFcHDcsZECYX25dE,bubblegrunge
Lala Lala,492I2sQFcHDcsZECYX25dE,indie pop
Lala Lala,492I2sQFcHDcsZECYX25dE,indie punk
Lala Lala,492I2sQFcHDcsZECYX25dE,indie rock
Dreamer Isioma,6u6AbTVrbabv27DLcSrF8i,alternative r&b
Dreamer Isioma,6u6AbTVrbabv27DLcSrF8i,chill r&b
Dreamer Isioma,6u6AbTVrbabv27DLcSrF8i,indie r&b
Dreamer Isioma,6u6AbTVrbabv27DLcSrF8i,modern indie pop
St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,art pop
St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,chamber psych
St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,electropop
St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,etherpop
St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,indie pop
St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,indie rock
St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,metropopolis
Discovery Zone,4Q3A7ukbHFR5xThu9hZDZt,experimental indie
"Whatever, Dad",1wMNhhG8VUhDGZ249MZBtn,indie garage rock
"Whatever, Dad",1wMNhhG8VUhDGZ249MZBtn,indie pop
"Whatever, Dad",1wMNhhG8VUhDGZ249MZBtn,lo-fi indie
"Whatever, Dad",1wMNhhG8VUhDGZ249MZBtn,small room
Bully,34LdbFt5sVXKTJOzf1iExQ,bubblegrunge
Bully,34LdbFt5sVXKTJOzf1iExQ,indie punk
Bully,34LdbFt5sVXKTJOzf1iExQ,indie rock
Caroline Spence,4De2r7QdHl1eZwnEnQ1IzE,deep new americana
Caroline Spence,4De2r7QdHl1eZwnEnQ1IzE,indie folk
Caroline Spence,4De2r7QdHl1eZwnEnQ1IzE,nashville singer-songwriter
Caroline Spence,4De2r7QdHl1eZwnEnQ1IzE,new americana
Haley Heynderickx,73MDShZzdL4vUGMkmXOG6X,indie pop
Haley Heynderickx,73MDShZzdL4vUGMkmXOG6X,portland indie
Haley Heynderickx,73MDShZzdL4vUGMkmXOG6X,small room
Cleo Sol,3ETLPQkcEd7z4k3IbZmXMq,alternative r&b
Cleo Sol,3ETLPQkcEd7z4k3IbZmXMq,indie r&b
Cleo Sol,3ETLPQkcEd7z4k3IbZmXMq,indie soul
Cleo Sol,3ETLPQkcEd7z4k3IbZmXMq,neo soul
Cleo Sol,3ETLPQkcEd7z4k3IbZmXMq,uk contemporary r&b
Cleo Sol,3ETLPQkcEd7z4k3IbZmXMq,uk funky
Zeph,502gYHkFCtLzBIcU4ctPLd,gen z singer-songwriter
Zeph,502gYHkFCtLzBIcU4ctPLd,indie pop
WILLOW,3rWZHrfrsPBxVy692yAIxF,afrofuturism
WILLOW,3rWZHrfrsPBxVy692yAIxF,pop
WILLOW,3rWZHrfrsPBxVy692yAIxF,post-teen pop
ML Buch,3NsSv8HchEwfa7bGkjb4ZC,art pop
ML Buch,3NsSv8HchEwfa7bGkjb4ZC,danish indie pop
ML Buch,3NsSv8HchEwfa7bGkjb4ZC,deconstructed club
ML Buch,3NsSv8HchEwfa7bGkjb4ZC,escape room
Squirrel Flower,7bI1v9NGBBhq8iGfytctni,boston indie
Squirrel Flower,7bI1v9NGBBhq8iGfytctni,bubblegrunge
Squirrel Flower,7bI1v9NGBBhq8iGfytctni,indie pop
Gloria Laing,3aO4DL5c2uBGD8EUuP7sxi,gen z singer-songwriter
Lennon Stella,1cZQSpDsxgKIX2yW5OR9Ot,alt z
Lennon Stella,1cZQSpDsxgKIX2yW5OR9Ot,canadian pop
Lennon Stella,1cZQSpDsxgKIX2yW5OR9Ot,electropop
Lennon Stella,1cZQSpDsxgKIX2yW5OR9Ot,pop
Lennon Stella,1cZQSpDsxgKIX2yW5OR9Ot,post-teen pop
Hannah Cohen,7ovXNdlB2DNSC16TbKgros,nyc pop
Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,indie pop
Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,la indie
Hana Vu,3diDUq8QMCCtx8a4Jy42aO,bedroom pop
Hana Vu,3diDUq8QMCCtx8a4Jy42aO,indie pop
Katie Gregson-MacLeod,2xCYQunn7ZXK6qOwXWPvcF,indie pop
UMI,4ClziihVpBeFXNyDH83Lde,alternative r&b
UMI,4ClziihVpBeFXNyDH83Lde,bedroom soul
UMI,4ClziihVpBeFXNyDH83Lde,chill r&b
UMI,4ClziihVpBeFXNyDH83Lde,indie r&b
UMI,4ClziihVpBeFXNyDH83Lde,pop
UMI,4ClziihVpBeFXNyDH83Lde,r&b
Margaret Glaspy,13YVfXddjRIUrubItJjadb,indie pop
Ethel Cain,0avMDS4HyoCEP6RqZJWpY2,art pop
Ethel Cain,0avMDS4HyoCEP6RqZJWpY2,indie pop
Ethel Cain,0avMDS4HyoCEP6RqZJWpY2,modern dream pop
Ethel Cain,0avMDS4HyoCEP6RqZJWpY2,pop
Natalie Prass,0EmUT6i9rTu9ZHy1Tl1iuX,rva indie
Arlo Parks,4kIwETcbpuFgRukE8o7Opx,alternative r&b
Arlo Parks,4kIwETcbpuFgRukE8o7Opx,indie pop
Arlo Parks,4kIwETcbpuFgRukE8o7Opx,indie soul
Arlo Parks,4kIwETcbpuFgRukE8o7Opx,uk contemporary r&b
Olive Klug,3SEtmo8E5DJVuGddKYqeiU,gen z singer-songwriter
FKA twigs,6nB0iY1cjSY1KyhYyuIIKH,afrofuturism
FKA twigs,6nB0iY1cjSY1KyhYyuIIKH,alternative r&b
FKA twigs,6nB0iY1cjSY1KyhYyuIIKH,art pop
FKA twigs,6nB0iY1cjSY1KyhYyuIIKH,escape room
FKA twigs,6nB0iY1cjSY1KyhYyuIIKH,experimental r&b
FKA twigs,6nB0iY1cjSY1KyhYyuIIKH,pop
FKA twigs,6nB0iY1cjSY1KyhYyuIIKH,trip hop
Coco & Clair Clair,5FkMS3KgG0cjiRm250NFTJ,art pop
Lady Lamb,2wunbYU5KWrpI7RCRBkwF0,indie pop
Lady Lamb,2wunbYU5KWrpI7RCRBkwF0,indie singer-songwriter
Lady Lamb,2wunbYU5KWrpI7RCRBkwF0,maine indie
Kelsey Lu,0fEfMW5bypHZ0A8eLnhwj5,alternative r&b
Kelsey Lu,0fEfMW5bypHZ0A8eLnhwj5,art pop
Kelsey Lu,0fEfMW5bypHZ0A8eLnhwj5,escape room
Kelsey Lu,0fEfMW5bypHZ0A8eLnhwj5,experimental r&b
dodie,21TinSsF5ytwsfdyz5VSVS,alt z
dodie,21TinSsF5ytwsfdyz5VSVS,indie pop
dodie,21TinSsF5ytwsfdyz5VSVS,pop
Joy Williams,4TCXgdDPm10ensLNCVnIYa,acoustic pop
Joy Williams,4TCXgdDPm10ensLNCVnIYa,christian indie
Joy Williams,4TCXgdDPm10ensLNCVnIYa,indie folk
Joy Williams,4TCXgdDPm10ensLNCVnIYa,indiecoustica
Joy Williams,4TCXgdDPm10ensLNCVnIYa,nashville americana
Joy Williams,4TCXgdDPm10ensLNCVnIYa,nashville singer-songwriter
Joy Williams,4TCXgdDPm10ensLNCVnIYa,neo mellow
Joy Williams,4TCXgdDPm10ensLNCVnIYa,new americana
Chappell Roan,7GlBOeep6PqTfFi59PTUUN,alt z
Chappell Roan,7GlBOeep6PqTfFi59PTUUN,indie pop
Chappell Roan,7GlBOeep6PqTfFi59PTUUN,pop
Chappell Roan,7GlBOeep6PqTfFi59PTUUN,springfield mo indie
Tia Gostelow,4blt4zG5qMjWCPymNjDNP5,australian indie
Tia Gostelow,4blt4zG5qMjWCPymNjDNP5,australian pop
Tia Gostelow,4blt4zG5qMjWCPymNjDNP5,brisbane indie
Aoife O'Donovan,1f3ubTd6eyxuy30ddDJQQa,boston folk
Aoife O'Donovan,1f3ubTd6eyxuy30ddDJQQa,deep new americana
Aoife O'Donovan,1f3ubTd6eyxuy30ddDJQQa,folk
Aoife O'Donovan,1f3ubTd6eyxuy30ddDJQQa,indie folk
Aoife O'Donovan,1f3ubTd6eyxuy30ddDJQQa,new americana
Aoife O'Donovan,1f3ubTd6eyxuy30ddDJQQa,progressive bluegrass
Aoife O'Donovan,1f3ubTd6eyxuy30ddDJQQa,stomp and holler
Clairo,3l0CmX0FuQjFxr8SK7Vqag,bedroom pop
Clairo,3l0CmX0FuQjFxr8SK7Vqag,indie pop
Clairo,3l0CmX0FuQjFxr8SK7Vqag,pop
Aldous Harding,3lmR0qMiGuoIF9UC54egcG,ambient folk
Aldous Harding,3lmR0qMiGuoIF9UC54egcG,art pop
Aldous Harding,3lmR0qMiGuoIF9UC54egcG,chamber pop
Aldous Harding,3lmR0qMiGuoIF9UC54egcG,chamber psych
Aldous Harding,3lmR0qMiGuoIF9UC54egcG,dunedin indie
Aldous Harding,3lmR0qMiGuoIF9UC54egcG,indie folk
Aldous Harding,3lmR0qMiGuoIF9UC54egcG,nz folk
Aldous Harding,3lmR0qMiGuoIF9UC54egcG,nz pop
Aldous Harding,3lmR0qMiGuoIF9UC54egcG,nz singer-songwriter
Ashe,6P5NO5hzJbuOqSdyPB7SJM,alt z
Ashe,6P5NO5hzJbuOqSdyPB7SJM,electropop
Ashe,6P5NO5hzJbuOqSdyPB7SJM,pop
Cate Le Bon,0LZac5VicY19QLaIUvIB0G,alternative rock
Cate Le Bon,0LZac5VicY19QLaIUvIB0G,art pop
Cate Le Bon,0LZac5VicY19QLaIUvIB0G,art rock
Cate Le Bon,0LZac5VicY19QLaIUvIB0G,chamber pop
Cate Le Bon,0LZac5VicY19QLaIUvIB0G,chamber psych
Cate Le Bon,0LZac5VicY19QLaIUvIB0G,dream pop
Cate Le Bon,0LZac5VicY19QLaIUvIB0G,garage psych
Cate Le Bon,0LZac5VicY19QLaIUvIB0G,indie folk
Cate Le Bon,0LZac5VicY19QLaIUvIB0G,indie rock
Cate Le Bon,0LZac5VicY19QLaIUvIB0G,welsh indie
Bree Runway,58hqTaCiqGrMsNmmm3qL7w,alternative r&b
Bree Runway,58hqTaCiqGrMsNmmm3qL7w,dance pop
Bree Runway,58hqTaCiqGrMsNmmm3qL7w,electropop
Bree Runway,58hqTaCiqGrMsNmmm3qL7w,escape room
Bree Runway,58hqTaCiqGrMsNmmm3qL7w,pop
Bree Runway,58hqTaCiqGrMsNmmm3qL7w,post-teen pop
Bree Runway,58hqTaCiqGrMsNmmm3qL7w,r&b
Charlotte Cornfield,59aqTTQGnvttJ4BCThaABZ,canadian indie
Charlotte Cornfield,59aqTTQGnvttJ4BCThaABZ,canadian singer-songwriter
Charlotte Cornfield,59aqTTQGnvttJ4BCThaABZ,toronto indie
Genevieve Stokes,2uaMjmR0IE0K3oKTQrNZVQ,indie pop
Genevieve Stokes,2uaMjmR0IE0K3oKTQrNZVQ,modern alternative pop
JESSIA,6DdbeAeBlrYj8bNToZv4TY,alt z
JESSIA,6DdbeAeBlrYj8bNToZv4TY,social media pop
NERIAH,1dUrqVHcv2FCXxlIqzIbiG,alt z
NERIAH,1dUrqVHcv2FCXxlIqzIbiG,pop
NERIAH,1dUrqVHcv2FCXxlIqzIbiG,social media pop
Fenne Lily,7iPH2BRBF9wKa6ljxvdext,bristol indie
Fenne Lily,7iPH2BRBF9wKa6ljxvdext,british singer-songwriter
Fenne Lily,7iPH2BRBF9wKa6ljxvdext,indie folk
Fenne Lily,7iPH2BRBF9wKa6ljxvdext,indie pop
Ruby Fields,1nwPEi1UZdJtCxBqATpsq3,australian garage punk
Ruby Fields,1nwPEi1UZdJtCxBqATpsq3,australian indie
Ruby Fields,1nwPEi1UZdJtCxBqATpsq3,australian pop
Maggie Rogers,4NZvixzsSefsNiIqXn0NDe,indie pop
Maggie Rogers,4NZvixzsSefsNiIqXn0NDe,pop
Solange,2auiVi8sUZo17dLy1HwrTU,afrofuturism
Solange,2auiVi8sUZo17dLy1HwrTU,alternative r&b
Solange,2auiVi8sUZo17dLy1HwrTU,dance pop
Solange,2auiVi8sUZo17dLy1HwrTU,escape room
Solange,2auiVi8sUZo17dLy1HwrTU,hip pop
Solange,2auiVi8sUZo17dLy1HwrTU,indie soul
Solange,2auiVi8sUZo17dLy1HwrTU,neo soul
Solange,2auiVi8sUZo17dLy1HwrTU,r&b
Solange,2auiVi8sUZo17dLy1HwrTU,urban contemporary
Sudan Archives,2MPHBxznH1fj59jbOWY38u,afrofuturism
Sudan Archives,2MPHBxznH1fj59jbOWY38u,alternative r&b
Sudan Archives,2MPHBxznH1fj59jbOWY38u,art pop
Sudan Archives,2MPHBxznH1fj59jbOWY38u,escape room
